PNA,Nazwa jednostki organizacyjnej,Miejscowość,Ulica,Nr
00-940,Poczta Polska Spółka Akcyjna Centrala,Warszawa,Rodziny Hiszpańskich,8
00-940,Pion Informatyki i Telekomunikacji,Warszawa,Rodziny Hiszpańskich,8
00-940,Centrum Infrastruktury,Warszawa,Rodziny Hiszpańskich,8
40-940,Centrum Obsługi Finansowej,Katowice,Plac Oddziałów Młodzieży Powstańczej,7
00-940,Centrum Rachunkowości,Warszawa,Rodziny Hiszpańskich,8
00-940,Centrum Usług Koncesjonowanych,Warszawa,Rodziny Hiszpańskich,8
00-940,Centrum Zarządzania Zasobami Ludzkimi,Warszawa,Rodziny Hiszpańskich,8
